(node:93508) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
t0 s0 w0 gold=0 hp=100 works=0/0 alive=0 wheel=spin/240 crossings=000 att=0 pros=(-2,-31) decoy=-
t120 s256 w8 gold=1 hp=54 works=12/16 alive=10 wheel=spin/240 crossings=500 att=33 pros=(3,-25) decoy=-3.3,-26.52
t121 s256 w8 gold=1 hp=54 works=12/16 alive=10 wheel=spin/240 crossings=500 att=33 pros=(2,-24) decoy=-3.3,-26.52
t122 s257 w8 gold=1 hp=54 works=12/16 alive=9 wheel=spin/240 crossings=500 att=33 pros=(3,-25) decoy=-3.3,-26.52
t123 s263 w8 gold=31 hp=54 works=12/16 alive=5 wheel=spin/240 crossings=500 att=33 pros=(-22,-7) decoy=-3.3,-26.52
t124 s270 w9 gold=16 hp=54 works=13/17 alive=21 wheel=spin/240 crossings=500 att=33 pros=(3,-25) decoy=-3.3,-26.52
t125 s275 w9 gold=10 hp=54 works=13/17 alive=16 wheel=spin/240 crossings=500 att=33 pros=(11,-20) decoy=-3.3,-26.52
t126 s275 w9 gold=10 hp=54 works=12/17 alive=16 wheel=spin/240 crossings=500 att=33 pros=(10,-20) decoy=-3.3,-26.52
t127 s275 w9 gold=10 hp=54 works=12/17 alive=16 wheel=spin/240 crossings=500 att=33 pros=(9,-20) decoy=-3.3,-26.52
t128 s275 w9 gold=10 hp=54 works=12/17 alive=16 wheel=spin/240 crossings=500 att=33 pros=(9,-20) decoy=-3.3,-26.52
t129 s275 w9 gold=10 hp=54 works=12/17 alive=16 wheel=spin/240 crossings=500 att=33 pros=(8,-20) decoy=-3.3,-26.52
t130 s276 w9 gold=10 hp=54 works=12/17 alive=13 wheel=spin/240 crossings=500 att=36 pros=(5,-21) decoy=-3.3,-26.52
t131 s276 w9 gold=10 hp=54 works=12/17 alive=13 wheel=spin/240 crossings=500 att=36 pros=(4,-21) decoy=-3.3,-26.52
t132 s276 w9 gold=10 hp=54 works=12/17 alive=12 wheel=spin/240 crossings=500 att=36 pros=(3,-21) decoy=-3.3,-26.52
t133 s277 w9 gold=10 hp=54 works=12/17 alive=12 wheel=spin/240 crossings=500 att=36 pros=(2,-21) decoy=-3.3,-26.52
t134 s277 w9 gold=10 hp=54 works=12/17 alive=11 wheel=spin/240 crossings=500 att=36 pros=(2,-21) decoy=-3.3,-26.52
t135 s277 w9 gold=10 hp=79 works=11/17 alive=10 wheel=spin/240 crossings=500 att=36 pros=(0,-21) decoy=-3.3,-26.52
t136 s277 w9 gold=10 hp=79 works=11/17 alive=10 wheel=spin/240 crossings=500 att=36 pros=(0,-21) decoy=-3.3,-26.52
t137 s277 w9 gold=10 hp=79 works=11/17 alive=9 wheel=spin/240 crossings=500 att=36 pros=(-1,-22) decoy=-3.3,-26.52
t138 s277 w9 gold=10 hp=79 works=11/17 alive=9 wheel=spin/240 crossings=500 att=36 pros=(-2,-22) decoy=-3.3,-26.52
t139 s278 w9 gold=10 hp=79 works=10/17 alive=7 wheel=spin/240 crossings=500 att=36 pros=(-3,-24) decoy=-3.3,-26.52
t140 s278 w9 gold=10 hp=79 works=10/17 alive=20 wheel=spin/240 crossings=500 att=36 pros=(-3,-25) decoy=-3.3,-26.52
t141 s278 w9 gold=6 hp=79 works=9/17 alive=20 wheel=spin/240 crossings=500 att=36 pros=(-3,-25) decoy=-3.3,-26.52
t142 s279 w9 gold=3 hp=79 works=10/17 alive=17 wheel=spin/240 crossings=500 att=36 pros=(-2,-22) decoy=-3.3,-26.52
t143 s283 w9 gold=0 hp=79 works=11/17 alive=15 wheel=spin/240 crossings=500 att=36 pros=(-0,-32) decoy=-3.3,-26.52
t144 s284 w9 gold=0 hp=79 works=11/17 alive=14 wheel=spin/240 crossings=500 att=36 pros=(-3,-32) decoy=-3.3,-26.52
t145 s284 w9 gold=0 hp=79 works=11/17 alive=14 wheel=spin/240 crossings=500 att=36 pros=(-4,-33) decoy=-3.3,-26.52
t146 s285 w9 gold=0 hp=79 works=11/17 alive=14 wheel=spin/240 crossings=500 att=36 pros=(-4,-30) decoy=-3.3,-26.52
t147 s285 w9 gold=0 hp=79 works=11/17 alive=13 wheel=spin/240 crossings=500 att=36 pros=(-4,-28) decoy=-3.3,-26.52
t148 s285 w9 gold=0 hp=79 works=11/17 alive=13 wheel=spin/240 crossings=500 att=36 pros=(-4,-28) decoy=-3.3,-26.52
t149 s286 w9 gold=0 hp=79 works=11/17 alive=12 wheel=spin/240 crossings=500 att=36 pros=(-4,-26) decoy=-3.3,-26.52
t150 s286 w9 gold=0 hp=79 works=10/17 alive=12 wheel=spin/240 crossings=500 att=36 pros=(-4,-24) decoy=-3.3,-26.52
t151 s286 w9 gold=0 hp=79 works=10/17 alive=12 wheel=spin/240 crossings=500 att=36 pros=(-4,-23) decoy=-3.3,-26.52
t152 s286 w9 gold=0 hp=79 works=10/17 alive=12 wheel=spin/240 crossings=500 att=36 pros=(-4,-23) decoy=-3.3,-26.52
t153 s287 w9 gold=0 hp=79 works=10/17 alive=12 wheel=spin/240 crossings=500 att=36 pros=(-3,-22) decoy=-3.3,-26.52
t154 s287 w9 gold=0 hp=79 works=10/17 alive=11 wheel=spin/240 crossings=500 att=36 pros=(-1,-21) decoy=-3.3,-26.52
t155 s288 w9 gold=0 hp=79 works=10/17 alive=9 wheel=spin/240 crossings=500 att=36 pros=(-3,-21) decoy=-3.3,-26.52
t156 s288 w9 gold=0 hp=79 works=10/17 alive=7 wheel=spin/240 crossings=500 att=36 pros=(-1,-20) decoy=-3.3,-26.52
t157 s289 w9 gold=0 hp=79 works=10/17 alive=6 wheel=spin/240 crossings=500 att=36 pros=(-3,-21) decoy=-3.3,-26.52
t158 s289 w9 gold=0 hp=79 works=10/17 alive=6 wheel=spin/240 crossings=500 att=36 pros=(-3,-21) decoy=-3.3,-26.52
t159 s294 w9 gold=30 hp=79 works=10/17 alive=6 wheel=spin/240 crossings=500 att=36 pros=(18,-7) decoy=-3.3,-26.52
t160 s300 w10 gold=27 hp=79 works=11/17 alive=23 wheel=spin/240 crossings=501 att=36 pros=(-3,-20) decoy=-3.3,-26.52
t161 s305 w10 gold=24 hp=79 works=12/17 alive=18 wheel=spin/240 crossings=501 att=39 pros=(-6,-24) decoy=-3.3,-26.52
t162 s305 w10 gold=24 hp=79 works=11/17 alive=17 wheel=spin/240 crossings=501 att=39 pros=(-7,-27) decoy=-3.3,-26.52
t163 s305 w10 gold=24 hp=79 works=11/17 alive=17 wheel=spin/240 crossings=501 att=39 pros=(-7,-28) decoy=-3.3,-26.52
t164 s306 w10 gold=21 hp=79 works=12/17 alive=16 wheel=spin/240 crossings=501 att=39 pros=(-7,-28) decoy=-3.3,-26.52
t165 s306 w10 gold=18 hp=79 works=13/17 alive=15 wheel=spin/240 crossings=501 att=39 pros=(-8,-27) decoy=-3.3,-26.52
t166 s306 w10 gold=18 hp=79 works=13/17 alive=15 wheel=spin/240 crossings=501 att=39 pros=(-7,-27) decoy=-3.3,-26.52
t167 s307 w10 gold=18 hp=79 works=13/17 alive=13 wheel=spin/240 crossings=501 att=39 pros=(-5,-28) decoy=-3.3,-26.52
t168 s307 w10 gold=18 hp=79 works=13/17 alive=12 wheel=spin/240 crossings=501 att=39 pros=(-4,-29) decoy=-3.3,-26.52
